layer_name,ratio,out_before,out_after,GMACs_before,GMACs_after,MParams_before,MParams_after
model.0.conv,0.000000,16,15,3.259475,3.249235,2.616248,2.615932
model.1.conv,0.000000,32,31,3.249235,3.244934,2.615932,2.615764
model.10.cv2.conv,0.000000,256,255,3.244934,3.244523,2.615764,2.615123
model.13.cv2.conv,0.044700,128,123,3.244523,3.239875,2.615123,2.613198
model.16.cv2.conv,0.097800,64,58,3.239875,3.205046,2.613198,2.605164
model.17.conv,0.138200,64,56,3.205046,3.196713,2.605164,2.599956
model.19.cv2.conv,0.048500,128,122,3.196713,3.185702,2.599956,2.587890
model.2.cv2.conv,0.000000,64,63,3.185702,3.180761,2.587890,2.587265
model.20.conv,0.127600,128,112,3.180761,3.172089,2.587265,2.565585
model.22.cv2.conv,0.055300,256,242,3.172089,3.166204,2.565585,2.550871
model.23.cv2.0.0.conv,0.139400,64,56,3.166204,3.109935,2.550871,2.542079
model.23.cv2.0.1.conv,0.144700,64,55,3.109935,3.077160,2.542079,2.536958
model.23.cv2.1.0.conv,0.099500,64,58,3.077160,3.061080,2.536958,2.526908
model.23.cv2.1.1.conv,0.085200,64,59,3.061080,3.056384,2.526908,2.523973
model.23.cv2.2.0.conv,0.028400,64,63,3.056384,3.055282,2.523973,2.521218
model.23.cv2.2.1.conv,0.000000,64,63,3.055282,3.055030,2.521218,2.520586
model.23.cv3.0.0.1.conv,0.170300,80,67,3.055030,3.042633,2.520586,2.518649
model.23.cv3.0.1.1.conv,0.171400,80,67,3.042633,3.030319,2.518649,2.516725
model.23.cv3.1.0.1.conv,0.146800,80,69,3.030319,3.026570,2.516725,2.514382
model.23.cv3.1.1.1.conv,0.148400,80,69,3.026570,3.023930,2.514382,2.512732
model.23.cv3.2.0.1.conv,0.059800,80,76,3.023930,3.023398,2.512732,2.511400
model.23.cv3.2.1.1.conv,0.063200,80,75,3.023398,3.023084,2.511400,2.510615
model.3.conv,0.000000,64,63,3.023084,3.019039,2.510615,2.509983
model.4.cv2.conv,0.000000,128,127,3.019039,3.016165,2.509983,2.508670
model.5.conv,0.000000,128,127,3.016165,3.014130,2.508670,2.507398
model.6.cv2.conv,0.000000,128,127,3.014130,3.012695,2.507398,2.504773
model.7.conv,0.000000,256,255,3.012695,3.012135,2.504773,2.503373
model.8.cv2.conv,0.000000,256,255,3.012135,3.011930,2.503373,2.502860
model.9.cv2.conv,0.000000,256,255,3.011930,3.011622,2.502860,2.502091
