layer_name,ratio,out_before,out_after,GMACs_before,GMACs_after,MParams_before,MParams_after
model.0.conv,0.000000,16,15,3.259475,3.249235,2.616248,2.615932
model.1.conv,0.000000,32,31,3.249235,3.244934,2.615932,2.615764
model.10.cv2.conv,0.000000,256,255,3.244934,3.244523,2.615764,2.615123
model.13.cv2.conv,0.029300,128,125,3.244523,3.241734,2.615123,2.613968
model.16.cv2.conv,0.093500,64,59,3.241734,3.212710,2.613968,2.607273
model.17.conv,0.142500,64,55,3.212710,3.203206,2.607273,2.601333
model.19.cv2.conv,0.034000,128,124,3.203206,3.195865,2.601333,2.593289
model.2.cv2.conv,0.000000,64,63,3.195865,3.190924,2.593289,2.592664
model.20.conv,0.129600,128,112,3.190924,3.182137,2.592664,2.570696
model.22.cv2.conv,0.042100,256,246,3.182137,3.177933,2.570696,2.560186
model.23.cv2.0.0.conv,0.143900,64,55,3.177933,3.114112,2.560186,2.550214
model.23.cv2.0.1.conv,0.150300,64,55,3.114112,3.081856,2.550214,2.545174
model.23.cv2.1.0.conv,0.095600,64,58,3.081856,3.065604,2.545174,2.535016
model.23.cv2.1.1.conv,0.078400,64,59,3.065604,3.060908,2.535016,2.532081
model.23.cv2.2.0.conv,0.009600,64,63,3.060908,3.059791,2.532081,2.529290
model.23.cv2.2.1.conv,0.000000,64,63,3.059791,3.059538,2.529290,2.528658
model.23.cv3.0.0.1.conv,0.181300,80,66,3.059538,3.046098,2.528658,2.526558
model.23.cv3.0.1.1.conv,0.182600,80,66,3.046098,3.032927,2.526558,2.524500
model.23.cv3.1.0.1.conv,0.152900,80,68,3.032927,3.028799,2.524500,2.521920
model.23.cv3.1.1.1.conv,0.154800,80,68,3.028799,3.025938,2.521920,2.520132
model.23.cv3.2.0.1.conv,0.047600,80,77,3.025938,3.025534,2.520132,2.519121
model.23.cv3.2.1.1.conv,0.051800,80,76,3.025534,3.025281,2.519121,2.518489
model.3.conv,0.000000,64,63,3.025281,3.021236,2.518489,2.517857
model.4.cv2.conv,0.000000,128,127,3.021236,3.018363,2.517857,2.516544
model.5.conv,0.000000,128,127,3.018363,3.016328,2.516544,2.515272
model.6.cv2.conv,0.000000,128,127,3.016328,3.014892,2.515272,2.512647
model.7.conv,0.000000,256,255,3.014892,3.014332,2.512647,2.511247
model.8.cv2.conv,0.000000,256,255,3.014332,3.014127,2.511247,2.510734
model.9.cv2.conv,0.000000,256,255,3.014127,3.013820,2.510734,2.509965
