layer_name,ratio,out_before,out_after,GMACs_before,GMACs_after,MParams_before,MParams_after
model.0.conv,0.000000,16,15,3.259475,3.249235,2.616248,2.615932
model.1.conv,0.000000,32,31,3.249235,3.244934,2.615932,2.615764
model.10.cv2.conv,0.000000,256,255,3.244934,3.244523,2.615764,2.615123
model.13.cv2.conv,0.049800,128,122,3.244523,3.238945,2.615123,2.612813
model.16.cv2.conv,0.098600,64,58,3.238945,3.204116,2.612813,2.604779
model.17.conv,0.135800,64,56,3.204116,3.195784,2.604779,2.599571
model.19.cv2.conv,0.053300,128,122,3.195784,3.184772,2.599571,2.587505
model.2.cv2.conv,0.000000,64,63,3.184772,3.179832,2.587505,2.586880
model.20.conv,0.126000,128,112,3.179832,3.171160,2.586880,2.565200
model.22.cv2.conv,0.059500,256,241,3.171160,3.164854,2.565200,2.549435
model.23.cv2.0.0.conv,0.136900,64,56,3.164854,3.108585,2.549435,2.540643
model.23.cv2.0.1.conv,0.141700,64,55,3.108585,3.075810,2.540643,2.535522
model.23.cv2.1.0.conv,0.100200,64,58,3.075810,3.059730,2.535522,2.525472
model.23.cv2.1.1.conv,0.087000,64,59,3.059730,3.055034,2.525472,2.522537
model.23.cv2.2.0.conv,0.034800,64,62,3.055034,3.052838,2.522537,2.517045
model.23.cv2.2.1.conv,0.006700,64,63,3.052838,3.052588,2.517045,2.516422
model.23.cv3.0.0.1.conv,0.165300,80,67,3.052588,3.040192,2.516422,2.514485
model.23.cv3.0.1.1.conv,0.166300,80,67,3.040192,3.027878,2.514485,2.512561
model.23.cv3.1.0.1.conv,0.143700,80,69,3.027878,3.024129,2.512561,2.510218
model.23.cv3.1.1.1.conv,0.145100,80,69,3.024129,3.021489,2.510218,2.508568
model.23.cv3.2.0.1.conv,0.063700,80,75,3.021489,3.020825,2.508568,2.506908
model.23.cv3.2.1.1.conv,0.066800,80,75,3.020825,3.020513,2.506908,2.506128
model.3.conv,0.000000,64,63,3.020513,3.016468,2.506128,2.505496
model.4.cv2.conv,0.000000,128,127,3.016468,3.013595,2.505496,2.504183
model.5.conv,0.000000,128,127,3.013595,3.011560,2.504183,2.502911
model.6.cv2.conv,0.000000,128,127,3.011560,3.010124,2.502911,2.500286
model.7.conv,0.000000,256,255,3.010124,3.009564,2.500286,2.498886
model.8.cv2.conv,0.000000,256,255,3.009564,3.009359,2.498886,2.498373
model.9.cv2.conv,0.000000,256,255,3.009359,3.009052,2.498373,2.497604
