layer_name,ratio,out_before,out_after,GMACs_before,GMACs_after,MParams_before,MParams_after
model.0.conv,0.000000,16,15,3.259475,3.249235,2.616248,2.615932
model.1.conv,0.000000,32,31,3.249235,3.244934,2.615932,2.615764
model.10.cv2.conv,0.000000,256,255,3.244934,3.244523,2.615764,2.615123
model.13.cv2.conv,0.017500,128,126,3.244523,3.242664,2.615123,2.614353
model.16.cv2.conv,0.093700,64,59,3.242664,3.213640,2.614353,2.607658
model.17.conv,0.151900,64,55,3.213640,3.204136,2.607658,2.601718
model.19.cv2.conv,0.023000,128,126,3.204136,3.200465,2.601718,2.597696
model.2.cv2.conv,0.000000,64,63,3.200465,3.195524,2.597696,2.597071
model.20.conv,0.136600,128,111,3.195524,3.186066,2.597071,2.573424
model.22.cv2.conv,0.032700,256,248,3.186066,3.182702,2.573424,2.565016
model.23.cv2.0.0.conv,0.153600,64,55,3.182702,3.118882,2.565016,2.555044
model.23.cv2.0.1.conv,0.161100,64,54,3.118882,3.083042,2.555044,2.549444
model.23.cv2.1.0.conv,0.096200,64,58,3.083042,3.066616,2.549444,2.539178
model.23.cv2.1.1.conv,0.075700,64,60,3.066616,3.062859,2.539178,2.536830
model.23.cv2.2.0.conv,0.000000,64,63,3.062859,3.061736,2.536830,2.534021
model.23.cv2.2.1.conv,0.000000,64,63,3.061736,3.061483,2.534021,2.533389
model.23.cv3.0.0.1.conv,0.198000,80,65,3.061483,3.047083,2.533389,2.531139
model.23.cv3.0.1.1.conv,0.199500,80,65,3.047083,3.033067,2.531139,2.528949
model.23.cv3.1.0.1.conv,0.164200,80,67,3.033067,3.028553,2.528949,2.526128
model.23.cv3.1.1.1.conv,0.166400,80,67,3.028553,3.025475,2.526128,2.524204
model.23.cv3.2.0.1.conv,0.039200,80,77,3.025475,3.025068,2.524204,2.523187
model.23.cv3.2.1.1.conv,0.044100,80,77,3.025068,3.024878,2.523187,2.522713
model.3.conv,0.000000,64,63,3.024878,3.020834,2.522713,2.522081
model.4.cv2.conv,0.000000,128,127,3.020834,3.017960,2.522081,2.520768
model.5.conv,0.000000,128,127,3.017960,3.015925,2.520768,2.519496
model.6.cv2.conv,0.000000,128,127,3.015925,3.014490,2.519496,2.516871
model.7.conv,0.000000,256,255,3.014490,3.013930,2.516871,2.515471
model.8.cv2.conv,0.000000,256,255,3.013930,3.013724,2.515471,2.514958
model.9.cv2.conv,0.000000,256,255,3.013724,3.013417,2.514958,2.514189
