layer_name,ratio,out_before,out_after,GMACs_before,GMACs_after,MParams_before,MParams_after
model.0.conv,0.000000,16,15,3.259475,3.249235,2.616248,2.615932
model.1.conv,0.000000,32,31,3.249235,3.244934,2.615932,2.615764
model.10.cv2.conv,0.000000,256,255,3.244934,3.244523,2.615764,2.615123
model.13.cv2.conv,0.011100,128,127,3.244523,3.243593,2.615123,2.614738
model.16.cv2.conv,0.092300,64,59,3.243593,3.214569,2.614738,2.608043
model.17.conv,0.154200,64,55,3.214569,3.205065,2.608043,2.602103
model.19.cv2.conv,0.017000,128,126,3.205065,3.201395,2.602103,2.598081
model.2.cv2.conv,0.000000,64,63,3.201395,3.196454,2.598081,2.597456
model.20.conv,0.137900,128,111,3.196454,3.186995,2.597456,2.573809
model.22.cv2.conv,0.027300,256,250,3.186995,3.184473,2.573809,2.567503
model.23.cv2.0.0.conv,0.156000,64,55,3.184473,3.120652,2.567503,2.557531
model.23.cv2.0.1.conv,0.164100,64,54,3.120652,3.084812,2.557531,2.551931
model.23.cv2.1.0.conv,0.095000,64,58,3.084812,3.068386,2.551931,2.541665
model.23.cv2.1.1.conv,0.073100,64,60,3.068386,3.064630,2.541665,2.539317
model.23.cv2.2.0.conv,0.000000,64,63,3.064630,3.063499,2.539317,2.536490
model.23.cv2.2.1.conv,0.000000,64,63,3.063499,3.063246,2.536490,2.535858
model.23.cv3.0.0.1.conv,0.203400,80,64,3.063246,3.047886,2.535858,2.533458
model.23.cv3.0.1.1.conv,0.204900,80,64,3.047886,3.033038,2.533458,2.531138
model.23.cv3.1.0.1.conv,0.167300,80,67,3.033038,3.028524,2.531138,2.528317
model.23.cv3.1.1.1.conv,0.169700,80,67,3.028524,3.025446,2.528317,2.526393
model.23.cv3.2.0.1.conv,0.034200,80,78,3.025446,3.025173,2.526393,2.525711
model.23.cv3.2.1.1.conv,0.039500,80,77,3.025173,3.024982,2.525711,2.525234
model.3.conv,0.000000,64,63,3.024982,3.020938,2.525234,2.524602
model.4.cv2.conv,0.000000,128,127,3.020938,3.018064,2.524602,2.523289
model.5.conv,0.000000,128,127,3.018064,3.016029,2.523289,2.522017
model.6.cv2.conv,0.000000,128,127,3.016029,3.014594,2.522017,2.519392
model.7.conv,0.000000,256,255,3.014594,3.014034,2.519392,2.517992
model.8.cv2.conv,0.000000,256,255,3.014034,3.013828,2.517992,2.517479
model.9.cv2.conv,0.000000,256,255,3.013828,3.013521,2.517479,2.516710
