layer_name,ratio,out_before,out_after,GMACs_before,GMACs_after,MParams_before,MParams_after
model.0.conv,0.000000,16,15,3.259475,3.249235,2.616248,2.615932
model.1.conv,0.000000,32,31,3.249235,3.244934,2.615932,2.615764
model.10.cv2.conv,0.000000,256,255,3.244934,3.244523,2.615764,2.615123
model.13.cv2.conv,0.027700,128,125,3.244523,3.241734,2.615123,2.613968
model.16.cv2.conv,0.094200,64,58,3.241734,3.206905,2.613968,2.605934
model.17.conv,0.145000,64,55,3.206905,3.197531,2.605934,2.600075
model.19.cv2.conv,0.032500,128,124,3.197531,3.190190,2.600075,2.592031
model.2.cv2.conv,0.000000,64,63,3.190190,3.185249,2.592031,2.591406
model.20.conv,0.131700,128,112,3.185249,3.176462,2.591406,2.569438
model.22.cv2.conv,0.040900,256,246,3.176462,3.172258,2.569438,2.558928
model.23.cv2.0.0.conv,0.146500,64,55,3.172258,3.108956,2.558928,2.549037
model.23.cv2.0.1.conv,0.153100,64,55,3.108956,3.076700,2.549037,2.543997
model.23.cv2.1.0.conv,0.096400,64,58,3.076700,3.060447,2.543997,2.533839
model.23.cv2.1.1.conv,0.078500,64,59,3.060447,3.055751,2.533839,2.530904
model.23.cv2.2.0.conv,0.007200,64,63,3.055751,3.054634,2.530904,2.528113
model.23.cv2.2.1.conv,0.000000,64,63,3.054634,3.054382,2.528113,2.527481
model.23.cv3.0.0.1.conv,0.185300,80,66,3.054382,3.041031,2.527481,2.525395
model.23.cv3.0.1.1.conv,0.186600,80,66,3.041031,3.027860,2.525395,2.523337
model.23.cv3.1.0.1.conv,0.155800,80,68,3.027860,3.023732,2.523337,2.520757
model.23.cv3.1.1.1.conv,0.157700,80,68,3.023732,3.020871,2.520757,2.518969
model.23.cv3.2.0.1.conv,0.046600,80,77,3.020871,3.020467,2.518969,2.517958
model.23.cv3.2.1.1.conv,0.050900,80,76,3.020467,3.020214,2.517958,2.517326
model.3.conv,0.000000,64,63,3.020214,3.016169,2.517326,2.516694
model.4.cv2.conv,0.000000,128,127,3.016169,3.013296,2.516694,2.515381
model.5.conv,0.000000,128,127,3.013296,3.011260,2.515381,2.514109
model.6.cv2.conv,0.000000,128,127,3.011260,3.009825,2.514109,2.511484
model.7.conv,0.000000,256,255,3.009825,3.009265,2.511484,2.510084
model.8.cv2.conv,0.000000,256,255,3.009265,3.009060,2.510084,2.509571
model.9.cv2.conv,0.000000,256,255,3.009060,3.008752,2.509571,2.508802
