layer_name,ratio,out_before,out_after,GMACs_before,GMACs_after,MParams_before,MParams_after
model.0.conv,0.000000,16,15,3.259475,3.249235,2.616248,2.615932
model.1.conv,0.000000,32,31,3.249235,3.244934,2.615932,2.615764
model.10.cv2.conv,0.000000,256,255,3.244934,3.244523,2.615764,2.615123
model.13.cv2.conv,0.016300,128,126,3.244523,3.242664,2.615123,2.614353
model.16.cv2.conv,0.094500,64,58,3.242664,3.207835,2.614353,2.606319
model.17.conv,0.154300,64,55,3.207835,3.198460,2.606319,2.600460
model.19.cv2.conv,0.021900,128,126,3.198460,3.194790,2.600460,2.596438
model.2.cv2.conv,0.000000,64,63,3.194790,3.189849,2.596438,2.595813
model.20.conv,0.138500,128,111,3.189849,3.180390,2.595813,2.572166
model.22.cv2.conv,0.031800,256,248,3.180390,3.177027,2.572166,2.563758
model.23.cv2.0.0.conv,0.156000,64,55,3.177027,3.113725,2.563758,2.553867
model.23.cv2.0.1.conv,0.163800,64,54,3.113725,3.077885,2.553867,2.548267
model.23.cv2.1.0.conv,0.097100,64,58,3.077885,3.061459,2.548267,2.538001
model.23.cv2.1.1.conv,0.076100,64,60,3.061459,3.057702,2.538001,2.535653
model.23.cv2.2.0.conv,0.000000,64,63,3.057702,3.056579,2.535653,2.532844
model.23.cv2.2.1.conv,0.000000,64,63,3.056579,3.056326,2.532844,2.532212
model.23.cv3.0.0.1.conv,0.201600,80,64,3.056326,3.041068,2.532212,2.529828
model.23.cv3.0.1.1.conv,0.203200,80,64,3.041068,3.026220,2.529828,2.527508
model.23.cv3.1.0.1.conv,0.166900,80,67,3.026220,3.021707,2.527508,2.524687
model.23.cv3.1.1.1.conv,0.169200,80,67,3.021707,3.018628,2.524687,2.522763
model.23.cv3.2.0.1.conv,0.038600,80,77,3.018628,3.018222,2.522763,2.521746
model.23.cv3.2.1.1.conv,0.043600,80,77,3.018222,3.018032,2.521746,2.521272
model.3.conv,0.000000,64,63,3.018032,3.013987,2.521272,2.520640
model.4.cv2.conv,0.000000,128,127,3.013987,3.011114,2.520640,2.519327
model.5.conv,0.000000,128,127,3.011114,3.009078,2.519327,2.518055
model.6.cv2.conv,0.000000,128,127,3.009078,3.007643,2.518055,2.515430
model.7.conv,0.000000,256,255,3.007643,3.007083,2.515430,2.514030
model.8.cv2.conv,0.000000,256,255,3.007083,3.006878,2.514030,2.513517
model.9.cv2.conv,0.000000,256,255,3.006878,3.006570,2.513517,2.512748
