layer_name,ratio,out_before,out_after,GMACs_before,GMACs_after,MParams_before,MParams_after
model.0.conv,0.000000,16,15,3.259475,3.249235,2.616248,2.615932
model.1.conv,0.000000,32,31,3.249235,3.244934,2.615932,2.615764
model.10.cv2.conv,0.000000,256,255,3.244934,3.244523,2.615764,2.615123
model.13.cv2.conv,0.009600,128,127,3.244523,3.243593,2.615123,2.614738
model.16.cv2.conv,0.093000,64,59,3.243593,3.214569,2.614738,2.608043
model.17.conv,0.156700,64,54,3.214569,3.204009,2.608043,2.601443
model.19.cv2.conv,0.015600,128,127,3.204009,3.202174,2.601443,2.599432
model.2.cv2.conv,0.000000,64,63,3.202174,3.197233,2.599432,2.598807
model.20.conv,0.139900,128,111,3.197233,3.187713,2.598807,2.575007
model.22.cv2.conv,0.026200,256,250,3.187713,3.185191,2.575007,2.568701
model.23.cv2.0.0.conv,0.158500,64,54,3.185191,3.114279,2.568701,2.557621
model.23.cv2.0.1.conv,0.166800,64,54,3.114279,3.079015,2.557621,2.552111
model.23.cv2.1.0.conv,0.095800,64,58,3.079015,3.062503,2.552111,2.541791
model.23.cv2.1.1.conv,0.073300,64,60,3.062503,3.058746,2.541791,2.539443
model.23.cv2.2.0.conv,0.000000,64,63,3.058746,3.057615,2.539443,2.536616
model.23.cv2.2.1.conv,0.000000,64,63,3.057615,3.057362,2.536616,2.535984
model.23.cv3.0.0.1.conv,0.207100,80,64,3.057362,3.042002,2.535984,2.533584
model.23.cv3.0.1.1.conv,0.208800,80,64,3.042002,3.027154,2.533584,2.531264
model.23.cv3.1.0.1.conv,0.170100,80,67,3.027154,3.022620,2.531264,2.528430
model.23.cv3.1.1.1.conv,0.172600,80,67,3.022620,3.019542,2.528430,2.526506
model.23.cv3.2.0.1.conv,0.033400,80,78,3.019542,3.019269,2.526506,2.525824
model.23.cv3.2.1.1.conv,0.038800,80,77,3.019269,3.019078,2.525824,2.525347
model.3.conv,0.000000,64,63,3.019078,3.015033,2.525347,2.524715
model.4.cv2.conv,0.000000,128,127,3.015033,3.012160,2.524715,2.523402
model.5.conv,0.000000,128,127,3.012160,3.010124,2.523402,2.522130
model.6.cv2.conv,0.000000,128,127,3.010124,3.008689,2.522130,2.519505
model.7.conv,0.000000,256,255,3.008689,3.008129,2.519505,2.518105
model.8.cv2.conv,0.000000,256,255,3.008129,3.007924,2.518105,2.517592
model.9.cv2.conv,0.000000,256,255,3.007924,3.007616,2.517592,2.516823
