layer_name,ratio,out_before,out_after,GMACs_before,GMACs_after,MParams_before,MParams_after
model.0.conv,0.000000,16,15,3.259475,3.249235,2.616248,2.615932
model.1.conv,0.000000,32,31,3.249235,3.244934,2.615932,2.615764
model.10.cv2.conv,0.000000,256,255,3.244934,3.244523,2.615764,2.615123
model.13.cv2.conv,0.042800,128,123,3.244523,3.239875,2.615123,2.613198
model.16.cv2.conv,0.098000,64,58,3.239875,3.205046,2.613198,2.605164
model.17.conv,0.140100,64,56,3.205046,3.196713,2.605164,2.599956
model.19.cv2.conv,0.046800,128,123,3.196713,3.187537,2.599956,2.589901
model.2.cv2.conv,0.000000,64,63,3.187537,3.182596,2.589901,2.589276
model.20.conv,0.129000,128,112,3.182596,3.173867,2.589276,2.567452
model.22.cv2.conv,0.053800,256,243,3.173867,3.168402,2.567452,2.553789
model.23.cv2.0.0.conv,0.141300,64,55,3.168402,3.105099,2.553789,2.543898
model.23.cv2.0.1.conv,0.146800,64,55,3.105099,3.072843,2.543898,2.538858
model.23.cv2.1.0.conv,0.099800,64,58,3.072843,3.056677,2.538858,2.528754
model.23.cv2.1.1.conv,0.085000,64,59,3.056677,3.051981,2.528754,2.525819
model.23.cv2.2.0.conv,0.025800,64,63,3.051981,3.050875,2.525819,2.523055
model.23.cv2.2.1.conv,0.000000,64,63,3.050875,3.050622,2.523055,2.522423
model.23.cv3.0.0.1.conv,0.173500,80,67,3.050622,3.038226,2.522423,2.520486
model.23.cv3.0.1.1.conv,0.174600,80,67,3.038226,3.025912,2.520486,2.518562
model.23.cv3.1.0.1.conv,0.149000,80,69,3.025912,3.022146,2.518562,2.516208
model.23.cv3.1.1.1.conv,0.150700,80,68,3.022146,3.019266,2.516208,2.514408
model.23.cv3.2.0.1.conv,0.058500,80,76,3.019266,3.018731,2.514408,2.513072
model.23.cv3.2.1.1.conv,0.062100,80,76,3.018731,3.018480,2.513072,2.512444
model.3.conv,0.000000,64,63,3.018480,3.014435,2.512444,2.511812
model.4.cv2.conv,0.000000,128,127,3.014435,3.011562,2.511812,2.510499
model.5.conv,0.000000,128,127,3.011562,3.009526,2.510499,2.509227
model.6.cv2.conv,0.000000,128,127,3.009526,3.008091,2.509227,2.506602
model.7.conv,0.000000,256,255,3.008091,3.007531,2.506602,2.505202
model.8.cv2.conv,0.000000,256,255,3.007531,3.007326,2.505202,2.504689
model.9.cv2.conv,0.000000,256,255,3.007326,3.007018,2.504689,2.503920
