layer_name,ratio,out_before,out_after,GMACs_before,GMACs_after,MParams_before,MParams_after
model.0.conv,0.000000,16,15,3.259475,3.249235,2.616248,2.615932
model.1.conv,0.000000,32,31,3.249235,3.244934,2.615932,2.615764
model.10.cv2.conv,0.000000,256,255,3.244934,3.244523,2.615764,2.615123
model.13.cv2.conv,0.019000,128,126,3.244523,3.242664,2.615123,2.614353
model.16.cv2.conv,0.093200,64,59,3.242664,3.213640,2.614353,2.607658
model.17.conv,0.149900,64,55,3.213640,3.204136,2.607658,2.601718
model.19.cv2.conv,0.024400,128,125,3.204136,3.198630,2.601718,2.595685
model.2.cv2.conv,0.000000,64,63,3.198630,3.193689,2.595685,2.595060
model.20.conv,0.135000,128,111,3.193689,3.184292,2.595060,2.571566
model.22.cv2.conv,0.033800,256,248,3.184292,3.180928,2.571566,2.563158
model.23.cv2.0.0.conv,0.151500,64,55,3.180928,3.117108,2.563158,2.553186
model.23.cv2.0.1.conv,0.158900,64,54,3.117108,3.081268,2.553186,2.547586
model.23.cv2.1.0.conv,0.095700,64,58,3.081268,3.064928,2.547586,2.537374
model.23.cv2.1.1.conv,0.075700,64,60,3.064928,3.061172,2.537374,2.535026
model.23.cv2.2.0.conv,0.000000,64,63,3.061172,3.060048,2.535026,2.532217
model.23.cv2.2.1.conv,0.000000,64,63,3.060048,3.059795,2.532217,2.531585
model.23.cv3.0.0.1.conv,0.194800,80,65,3.059795,3.045395,2.531585,2.529335
model.23.cv3.0.1.1.conv,0.196200,80,65,3.045395,3.031379,2.529335,2.527145
model.23.cv3.1.0.1.conv,0.161900,80,68,3.031379,3.027232,2.527145,2.524553
model.23.cv3.1.1.1.conv,0.164100,80,67,3.027232,3.024133,2.524553,2.522616
model.23.cv3.2.0.1.conv,0.040200,80,77,3.024133,3.023726,2.522616,2.521599
model.23.cv3.2.1.1.conv,0.044900,80,77,3.023726,3.023536,2.521599,2.521125
model.3.conv,0.000000,64,63,3.023536,3.019492,2.521125,2.520493
model.4.cv2.conv,0.000000,128,127,3.019492,3.016618,2.520493,2.519180
model.5.conv,0.000000,128,127,3.016618,3.014583,2.519180,2.517908
model.6.cv2.conv,0.000000,128,127,3.014583,3.013148,2.517908,2.515283
model.7.conv,0.000000,256,255,3.013148,3.012588,2.515283,2.513883
model.8.cv2.conv,0.000000,256,255,3.012588,3.012382,2.513883,2.513370
model.9.cv2.conv,0.000000,256,255,3.012382,3.012075,2.513370,2.512601
