layer_name,ratio,out_before,out_after,GMACs_before,GMACs_after,MParams_before,MParams_after
model.0.conv,0.000000,16,15,3.259475,3.249235,2.616248,2.615932
model.1.conv,0.000000,32,31,3.249235,3.244934,2.615932,2.615764
model.10.cv2.conv,0.000000,256,255,3.244934,3.244523,2.615764,2.615123
model.13.cv2.conv,0.005500,128,127,3.244523,3.243593,2.615123,2.614738
model.16.cv2.conv,0.092200,64,59,3.243593,3.214569,2.614738,2.608043
model.17.conv,0.158400,64,54,3.214569,3.204009,2.608043,2.601443
model.19.cv2.conv,0.011800,128,127,3.204009,3.202174,2.601443,2.599432
model.2.cv2.conv,0.000000,64,63,3.202174,3.197233,2.599432,2.598807
model.20.conv,0.141000,128,110,3.197233,3.187153,2.598807,2.573607
model.22.cv2.conv,0.022800,256,251,3.187153,3.185051,2.573607,2.568352
model.23.cv2.0.0.conv,0.160300,64,54,3.185051,3.114139,2.568352,2.557272
model.23.cv2.0.1.conv,0.168900,64,54,3.114139,3.078875,2.557272,2.551762
model.23.cv2.1.0.conv,0.095100,64,58,3.078875,3.062363,2.551762,2.541442
model.23.cv2.1.1.conv,0.071700,64,60,3.062363,3.058606,2.541442,2.539094
model.23.cv2.2.0.conv,0.000000,64,63,3.058606,3.057472,2.539094,2.536258
model.23.cv2.2.1.conv,0.000000,64,63,3.057472,3.057219,2.536258,2.535626
model.23.cv3.0.0.1.conv,0.210800,80,64,3.057219,3.041859,2.535626,2.533226
model.23.cv3.0.1.1.conv,0.212500,80,63,3.041859,3.026083,2.533226,2.530761
model.23.cv3.1.0.1.conv,0.172400,80,67,3.026083,3.021549,2.530761,2.527927
model.23.cv3.1.1.1.conv,0.174900,80,67,3.021549,3.018470,2.527927,2.526003
model.23.cv3.2.0.1.conv,0.030200,80,78,3.018470,3.018197,2.526003,2.525319
model.23.cv3.2.1.1.conv,0.035800,80,78,3.018197,3.018070,2.525319,2.525001
model.3.conv,0.000000,64,63,3.018070,3.014025,2.525001,2.524369
model.4.cv2.conv,0.000000,128,127,3.014025,3.011151,2.524369,2.523056
model.5.conv,0.000000,128,127,3.011151,3.009116,2.523056,2.521784
model.6.cv2.conv,0.000000,128,127,3.009116,3.007681,2.521784,2.519159
model.7.conv,0.000000,256,255,3.007681,3.007121,2.519159,2.517759
model.8.cv2.conv,0.000000,256,255,3.007121,3.006916,2.517759,2.517246
model.9.cv2.conv,0.000000,256,255,3.006916,3.006608,2.517246,2.516477
