layer_name,ratio,out_before,out_after,GMACs_before,GMACs_after,MParams_before,MParams_after
model.0.conv,0.000000,16,15,3.259475,3.249235,2.616248,2.615932
model.1.conv,0.000000,32,31,3.249235,3.244934,2.615932,2.615764
model.10.cv2.conv,0.000000,256,255,3.244934,3.244523,2.615764,2.615123
model.13.cv2.conv,0.000000,128,127,3.244523,3.243593,2.615123,2.614738
model.16.cv2.conv,0.088500,64,59,3.243593,3.214569,2.614738,2.608043
model.17.conv,0.161600,64,54,3.214569,3.204009,2.608043,2.601443
model.19.cv2.conv,0.000000,128,127,3.204009,3.202174,2.601443,2.599432
model.2.cv2.conv,0.000000,64,63,3.202174,3.197233,2.599432,2.598807
model.20.conv,0.142400,128,110,3.197233,3.187153,2.598807,2.573607
model.22.cv2.conv,0.011800,256,253,3.187153,3.185892,2.573607,2.570454
model.23.cv2.0.0.conv,0.163800,64,54,3.185892,3.114980,2.570454,2.559374
model.23.cv2.0.1.conv,0.173300,64,53,3.114980,3.076190,2.559374,2.553313
model.23.cv2.1.0.conv,0.091700,64,59,3.076190,3.062430,2.553313,2.544713
model.23.cv2.1.1.conv,0.065900,64,60,3.062430,3.058615,2.544713,2.542329
model.23.cv2.2.0.conv,0.000000,64,63,3.058615,3.057474,2.542329,2.539475
model.23.cv2.2.1.conv,0.000000,64,63,3.057474,3.057221,2.539475,2.538843
model.23.cv3.0.0.1.conv,0.219700,80,63,3.057221,3.040901,2.538843,2.536293
model.23.cv3.0.1.1.conv,0.221500,80,63,3.040901,3.025234,2.536293,2.533845
model.23.cv3.1.0.1.conv,0.177100,80,66,3.025234,3.020350,2.533845,2.530793
model.23.cv3.1.1.1.conv,0.179900,80,66,3.020350,3.017058,2.530793,2.528735
model.23.cv3.2.0.1.conv,0.020000,80,79,3.017058,3.016920,2.528735,2.528391
model.23.cv3.2.1.1.conv,0.026200,80,78,3.016920,3.016792,2.528391,2.528071
model.3.conv,0.000000,64,63,3.016792,3.012747,2.528071,2.527439
model.4.cv2.conv,0.000000,128,127,3.012747,3.009874,2.527439,2.526126
model.5.conv,0.000000,128,127,3.009874,3.007838,2.526126,2.524854
model.6.cv2.conv,0.000000,128,127,3.007838,3.006403,2.524854,2.522229
model.7.conv,0.000000,256,255,3.006403,3.005843,2.522229,2.520829
model.8.cv2.conv,0.000000,256,255,3.005843,3.005638,2.520829,2.520316
model.9.cv2.conv,0.000000,256,255,3.005638,3.005330,2.520316,2.519547
