layer_name,ratio,out_before,out_after,GMACs_before,GMACs_after,MParams_before,MParams_after
model.0.conv,0.000000,16,15,3.259475,3.249235,2.616248,2.615932
model.1.conv,0.000000,32,31,3.249235,3.244934,2.615932,2.615764
model.10.cv2.conv,0.000000,256,255,3.244934,3.244523,2.615764,2.615123
model.13.cv2.conv,0.037000,128,124,3.244523,3.240804,2.615123,2.613583
model.16.cv2.conv,0.095800,64,58,3.240804,3.205976,2.613583,2.605549
model.17.conv,0.140600,64,56,3.205976,3.197643,2.605549,2.600341
model.19.cv2.conv,0.041200,128,123,3.197643,3.188467,2.600341,2.590286
model.2.cv2.conv,0.000000,64,63,3.188467,3.183526,2.590286,2.589661
model.20.conv,0.128800,128,112,3.183526,3.174796,2.589661,2.567837
model.22.cv2.conv,0.048700,256,244,3.174796,3.169752,2.567837,2.555225
model.23.cv2.0.0.conv,0.141900,64,55,3.169752,3.106449,2.555225,2.545334
model.23.cv2.0.1.conv,0.147800,64,55,3.106449,3.074193,2.545334,2.540294
model.23.cv2.1.0.conv,0.097700,64,58,3.074193,3.058027,2.540294,2.530190
model.23.cv2.1.1.conv,0.081900,64,59,3.058027,3.053331,2.530190,2.527255
model.23.cv2.2.0.conv,0.018900,64,63,3.053331,3.052222,2.527255,2.524482
model.23.cv2.2.1.conv,0.000000,64,63,3.052222,3.051969,2.524482,2.523850
model.23.cv3.0.0.1.conv,0.176200,80,66,3.051969,3.038618,2.523850,2.521764
model.23.cv3.0.1.1.conv,0.177300,80,66,3.038618,3.025447,2.521764,2.519706
model.23.cv3.1.0.1.conv,0.150100,80,68,3.025447,3.021338,2.519706,2.517138
model.23.cv3.1.1.1.conv,0.151800,80,68,3.021338,3.018478,2.517138,2.515350
model.23.cv3.2.0.1.conv,0.053700,80,76,3.018478,3.017942,2.515350,2.514010
model.23.cv3.2.1.1.conv,0.057500,80,76,3.017942,3.017690,2.514010,2.513382
model.3.conv,0.000000,64,63,3.017690,3.013646,2.513382,2.512750
model.4.cv2.conv,0.000000,128,127,3.013646,3.010772,2.512750,2.511437
model.5.conv,0.000000,128,127,3.010772,3.008737,2.511437,2.510165
model.6.cv2.conv,0.000000,128,127,3.008737,3.007302,2.510165,2.507540
model.7.conv,0.000000,256,255,3.007302,3.006742,2.507540,2.506140
model.8.cv2.conv,0.000000,256,255,3.006742,3.006536,2.506140,2.505627
model.9.cv2.conv,0.000000,256,255,3.006536,3.006229,2.505627,2.504858
