layer_name,ratio,out_before,out_after,GMACs_before,GMACs_after,MParams_before,MParams_after
model.0.conv,0.000000,16,15,3.259475,3.249235,2.616248,2.615932
model.1.conv,0.000000,32,31,3.249235,3.244934,2.615932,2.615764
model.10.cv2.conv,0.000000,256,255,3.244934,3.244523,2.615764,2.615123
model.13.cv2.conv,0.023900,128,125,3.244523,3.241734,2.615123,2.613968
model.16.cv2.conv,0.094800,64,58,3.241734,3.206905,2.613968,2.605934
model.17.conv,0.149000,64,55,3.206905,3.197531,2.605934,2.600075
model.19.cv2.conv,0.029000,128,125,3.197531,3.192025,2.600075,2.594042
model.2.cv2.conv,0.000000,64,63,3.192025,3.187084,2.594042,2.593417
model.20.conv,0.134700,128,111,3.187084,3.177687,2.593417,2.569923
model.22.cv2.conv,0.038000,256,247,3.177687,3.173903,2.569923,2.560464
model.23.cv2.0.0.conv,0.150500,64,55,3.173903,3.110601,2.560464,2.550573
model.23.cv2.0.1.conv,0.157600,64,54,3.110601,3.074761,2.550573,2.544973
model.23.cv2.1.0.conv,0.097100,64,58,3.074761,3.058422,2.544973,2.534761
model.23.cv2.1.1.conv,0.078100,64,60,3.058422,3.054665,2.534761,2.532413
model.23.cv2.2.0.conv,0.002000,64,63,3.054665,3.053545,2.532413,2.529613
model.23.cv2.2.1.conv,0.000000,64,63,3.053545,3.053292,2.529613,2.528981
model.23.cv3.0.0.1.conv,0.191900,80,65,3.053292,3.038988,2.528981,2.526746
model.23.cv3.0.1.1.conv,0.193300,80,65,3.038988,3.024972,2.526746,2.524556
model.23.cv3.1.0.1.conv,0.160400,80,68,3.024972,3.020825,2.524556,2.521964
model.23.cv3.1.1.1.conv,0.162500,80,67,3.020825,3.017726,2.521964,2.520027
model.23.cv3.2.0.1.conv,0.044100,80,77,3.017726,3.017320,2.520027,2.519013
model.23.cv3.2.1.1.conv,0.048600,80,77,3.017320,3.017130,2.519013,2.518539
model.3.conv,0.000000,64,63,3.017130,3.013086,2.518539,2.517907
model.4.cv2.conv,0.000000,128,127,3.013086,3.010212,2.517907,2.516594
model.5.conv,0.000000,128,127,3.010212,3.008177,2.516594,2.515322
model.6.cv2.conv,0.000000,128,127,3.008177,3.006742,2.515322,2.512697
model.7.conv,0.000000,256,255,3.006742,3.006182,2.512697,2.511297
model.8.cv2.conv,0.000000,256,255,3.006182,3.005976,2.511297,2.510784
model.9.cv2.conv,0.000000,256,255,3.005976,3.005669,2.510784,2.510015
