layer_name,ratio,out_before,out_after,GMACs_before,GMACs_after,MParams_before,MParams_after
model.0.conv,0.000000,16,15,3.259475,3.249235,2.616248,2.615932
model.1.conv,0.000000,32,31,3.249235,3.244934,2.615932,2.615764
model.10.cv2.conv,0.000000,256,255,3.244934,3.244523,2.615764,2.615123
model.13.cv2.conv,0.021500,128,126,3.244523,3.242664,2.615123,2.614353
model.16.cv2.conv,0.094000,64,58,3.242664,3.207835,2.614353,2.606319
model.17.conv,0.149300,64,55,3.207835,3.198460,2.606319,2.600460
model.19.cv2.conv,0.026700,128,125,3.198460,3.192955,2.600460,2.594427
model.2.cv2.conv,0.000000,64,63,3.192955,3.188014,2.594427,2.593802
model.20.conv,0.134800,128,111,3.188014,3.178616,2.593802,2.570308
model.22.cv2.conv,0.035900,256,247,3.178616,3.174833,2.570308,2.560849
model.23.cv2.0.0.conv,0.150900,64,55,3.174833,3.111530,2.560849,2.550958
model.23.cv2.0.1.conv,0.158100,64,54,3.111530,3.075690,2.550958,2.545358
model.23.cv2.1.0.conv,0.096400,64,58,3.075690,3.059351,2.545358,2.535146
model.23.cv2.1.1.conv,0.076900,64,60,3.059351,3.055594,2.535146,2.532798
model.23.cv2.2.0.conv,0.000000,64,63,3.055594,3.054474,2.532798,2.529998
model.23.cv2.2.1.conv,0.000000,64,63,3.054474,3.054222,2.529998,2.529366
model.23.cv3.0.0.1.conv,0.193200,80,65,3.054222,3.039918,2.529366,2.527131
model.23.cv3.0.1.1.conv,0.194600,80,65,3.039918,3.025902,2.527131,2.524941
model.23.cv3.1.0.1.conv,0.161000,80,68,3.025902,3.021754,2.524941,2.522349
model.23.cv3.1.1.1.conv,0.163200,80,67,3.021754,3.018655,2.522349,2.520412
model.23.cv3.2.0.1.conv,0.042200,80,77,3.018655,3.018250,2.520412,2.519398
model.23.cv3.2.1.1.conv,0.046900,80,77,3.018250,3.018060,2.519398,2.518924
model.3.conv,0.000000,64,63,3.018060,3.014015,2.518924,2.518292
model.4.cv2.conv,0.000000,128,127,3.014015,3.011142,2.518292,2.516979
model.5.conv,0.000000,128,127,3.011142,3.009106,2.516979,2.515707
model.6.cv2.conv,0.000000,128,127,3.009106,3.007671,2.515707,2.513082
model.7.conv,0.000000,256,255,3.007671,3.007111,2.513082,2.511682
model.8.cv2.conv,0.000000,256,255,3.007111,3.006906,2.511682,2.511169
model.9.cv2.conv,0.000000,256,255,3.006906,3.006598,2.511169,2.510400
