layer_name,ratio,out_before,out_after,GMACs_before,GMACs_after,MParams_before,MParams_after
model.0.conv,0.000000,16,15,3.259475,3.249235,2.616248,2.615932
model.1.conv,0.000000,32,31,3.249235,3.244934,2.615932,2.615764
model.10.cv2.conv,0.000000,256,255,3.244934,3.244523,2.615764,2.615123
model.13.cv2.conv,0.047400,128,122,3.244523,3.238945,2.615123,2.612813
model.16.cv2.conv,0.098200,64,58,3.238945,3.204116,2.612813,2.604779
model.17.conv,0.136900,64,56,3.204116,3.195784,2.604779,2.599571
model.19.cv2.conv,0.051100,128,122,3.195784,3.184772,2.599571,2.587505
model.2.cv2.conv,0.000000,64,63,3.184772,3.179832,2.587505,2.586880
model.20.conv,0.126800,128,112,3.179832,3.171160,2.586880,2.565200
model.22.cv2.conv,0.057500,256,242,3.171160,3.165274,2.565200,2.550486
model.23.cv2.0.0.conv,0.138100,64,56,3.165274,3.109005,2.550486,2.541694
model.23.cv2.0.1.conv,0.143100,64,55,3.109005,3.076231,2.541694,2.536573
model.23.cv2.1.0.conv,0.099900,64,58,3.076231,3.060151,2.536573,2.526523
model.23.cv2.1.1.conv,0.086200,64,59,3.060151,3.055455,2.526523,2.523588
model.23.cv2.2.0.conv,0.031800,64,62,3.055455,3.053251,2.523588,2.518078
model.23.cv2.2.1.conv,0.002600,64,63,3.053251,3.053002,2.518078,2.517455
model.23.cv3.0.0.1.conv,0.167700,80,67,3.053002,3.040605,2.517455,2.515518
model.23.cv3.0.1.1.conv,0.168700,80,67,3.040605,3.028291,2.515518,2.513594
model.23.cv3.1.0.1.conv,0.145100,80,69,3.028291,3.024542,2.513594,2.511251
model.23.cv3.1.1.1.conv,0.146600,80,69,3.024542,3.021902,2.511251,2.509601
model.23.cv3.2.0.1.conv,0.061900,80,76,3.021902,3.021370,2.509601,2.508269
model.23.cv3.2.1.1.conv,0.065100,80,75,3.021370,3.021056,2.508269,2.507484
model.3.conv,0.000000,64,63,3.021056,3.017011,2.507484,2.506852
model.4.cv2.conv,0.000000,128,127,3.017011,3.014137,2.506852,2.505539
model.5.conv,0.000000,128,127,3.014137,3.012102,2.505539,2.504267
model.6.cv2.conv,0.000000,128,127,3.012102,3.010667,2.504267,2.501642
model.7.conv,0.000000,256,255,3.010667,3.010107,2.501642,2.500242
model.8.cv2.conv,0.000000,256,255,3.010107,3.009902,2.500242,2.499729
model.9.cv2.conv,0.000000,256,255,3.009902,3.009594,2.499729,2.498960
