layer_name,ratio,out_before,out_after,GMACs_before,GMACs_after,MParams_before,MParams_after
model.0.conv,0.000000,16,15,3.259475,3.249235,2.616248,2.615932
model.1.conv,0.000000,32,31,3.249235,3.244934,2.615932,2.615764
model.10.cv2.conv,0.000000,256,255,3.244934,3.244523,2.615764,2.615123
model.13.cv2.conv,0.031700,128,124,3.244523,3.240804,2.615123,2.613583
model.16.cv2.conv,0.094100,64,58,3.240804,3.205976,2.613583,2.605549
model.17.conv,0.141700,64,55,3.205976,3.196601,2.605549,2.599690
model.19.cv2.conv,0.036200,128,124,3.196601,3.189260,2.599690,2.591646
model.2.cv2.conv,0.000000,64,63,3.189260,3.184320,2.591646,2.591021
model.20.conv,0.129200,128,112,3.184320,3.175532,2.591021,2.569053
model.22.cv2.conv,0.044100,256,245,3.175532,3.170908,2.569053,2.557492
model.23.cv2.0.0.conv,0.143100,64,55,3.170908,3.107606,2.557492,2.547601
model.23.cv2.0.1.conv,0.149300,64,55,3.107606,3.075350,2.547601,2.542561
model.23.cv2.1.0.conv,0.096200,64,58,3.075350,3.059097,2.542561,2.532403
model.23.cv2.1.1.conv,0.079400,64,59,3.059097,3.054401,2.532403,2.529468
model.23.cv2.2.0.conv,0.012500,64,63,3.054401,3.053288,2.529468,2.526686
model.23.cv2.2.1.conv,0.000000,64,63,3.053288,3.053035,2.526686,2.526054
model.23.cv3.0.0.1.conv,0.179500,80,66,3.053035,3.039685,2.526054,2.523968
model.23.cv3.0.1.1.conv,0.180700,80,66,3.039685,3.026514,2.523968,2.521910
model.23.cv3.1.0.1.conv,0.151800,80,68,3.026514,3.022386,2.521910,2.519330
model.23.cv3.1.1.1.conv,0.153700,80,68,3.022386,3.019525,2.519330,2.517542
model.23.cv3.2.0.1.conv,0.049500,80,77,3.019525,3.019122,2.517542,2.516534
model.23.cv3.2.1.1.conv,0.053500,80,76,3.019122,3.018869,2.516534,2.515902
model.3.conv,0.000000,64,63,3.018869,3.014824,2.515902,2.515270
model.4.cv2.conv,0.000000,128,127,3.014824,3.011950,2.515270,2.513957
model.5.conv,0.000000,128,127,3.011950,3.009915,2.513957,2.512685
model.6.cv2.conv,0.000000,128,127,3.009915,3.008480,2.512685,2.510060
model.7.conv,0.000000,256,255,3.008480,3.007920,2.510060,2.508660
model.8.cv2.conv,0.000000,256,255,3.007920,3.007715,2.508660,2.508147
model.9.cv2.conv,0.000000,256,255,3.007715,3.007407,2.508147,2.507378
