layer_name,ratio,out_before,out_after,GMACs_before,GMACs_after,MParams_before,MParams_after
model.0.conv,0.000000,16,15,3.259475,3.249235,2.616248,2.615932
model.1.conv,0.000000,32,31,3.249235,3.244934,2.615932,2.615764
model.10.cv2.conv,0.000000,256,255,3.244934,3.244523,2.615764,2.615123
model.13.cv2.conv,0.014000,128,127,3.244523,3.243593,2.615123,2.614738
model.16.cv2.conv,0.093900,64,58,3.243593,3.208764,2.614738,2.606704
model.17.conv,0.154800,64,55,3.208764,3.199390,2.606704,2.600845
model.19.cv2.conv,0.019700,128,126,3.199390,3.195720,2.600845,2.596823
model.2.cv2.conv,0.000000,64,63,3.195720,3.190779,2.596823,2.596198
model.20.conv,0.138800,128,111,3.190779,3.181320,2.596198,2.572551
model.22.cv2.conv,0.029900,256,249,3.181320,3.178377,2.572551,2.565194
model.23.cv2.0.0.conv,0.156600,64,54,3.178377,3.108041,2.565194,2.554204
model.23.cv2.0.1.conv,0.164500,64,54,3.108041,3.072777,2.554204,2.548694
model.23.cv2.1.0.conv,0.096500,64,58,3.072777,3.056352,2.548694,2.538428
model.23.cv2.1.1.conv,0.075000,64,60,3.056352,3.052595,2.538428,2.536080
model.23.cv2.2.0.conv,0.000000,64,63,3.052595,3.051468,2.536080,2.533262
model.23.cv2.2.1.conv,0.000000,64,63,3.051468,3.051215,2.533262,2.532630
model.23.cv3.0.0.1.conv,0.203200,80,64,3.051215,3.035957,2.532630,2.530246
model.23.cv3.0.1.1.conv,0.204700,80,64,3.035957,3.021109,2.530246,2.527926
model.23.cv3.1.0.1.conv,0.167700,80,67,3.021109,3.016596,2.527926,2.525105
model.23.cv3.1.1.1.conv,0.170100,80,67,3.016596,3.013517,2.525105,2.523181
model.23.cv3.2.0.1.conv,0.036700,80,78,3.013517,3.013245,2.523181,2.522501
model.23.cv3.2.1.1.conv,0.041900,80,77,3.013245,3.013054,2.522501,2.522024
model.3.conv,0.000000,64,63,3.013054,3.009010,2.522024,2.521392
model.4.cv2.conv,0.000000,128,127,3.009010,3.006136,2.521392,2.520079
model.5.conv,0.000000,128,127,3.006136,3.004101,2.520079,2.518807
model.6.cv2.conv,0.000000,128,127,3.004101,3.002666,2.518807,2.516182
model.7.conv,0.000000,256,255,3.002666,3.002106,2.516182,2.514782
model.8.cv2.conv,0.000000,256,255,3.002106,3.001900,2.514782,2.514269
model.9.cv2.conv,0.000000,256,255,3.001900,3.001593,2.514269,2.513500
